Project_Name,Subproject,Sample_ID,Source_ID,Strain_ID,Plasmid_ID,Nucleic_Acids_ID,A260,A280,Ratio,nDrop,Qubit,Quantification_Method,Extractor,Date_Extracted,Storage_Location,Storage_Box,Kit_Name,Lot_Number,Kit_Name_2,Lot_Number_2,What_is_this?,Empty,Notes
NIH_Leech_Microbiome,EnvInteract,FAa4dF101213EMbi,FAa4dF101213EMb,,,FAa4dF101213EMbiD,,,,,4.44,,McClureE,2013-10-11,BPB425_-20,DNA3,EMbeat ,061313JB092913,,,,no,
NIH_Leech_Microbiome,EnvInteract,FAa4dF101213EMci,FAa4dF101213EMc,,,FAa4dF101213EMciD,,,,,5.64,,McClureE,2013-10-11,BPB425_-20,DNA3,EMbeat ,061313JB092913,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa2dF110314EMai,UAa2dF110314EMa,,,UAa2dF110314EMaiD,,,,,5.51,,LinA,2014-11-06,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa2dF110314EMbi,UAa2dF110314EMb,,,UAa2dF110314EMbiD,,,,,26.5,,LinA,2014-11-18,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa2dF110314EMci,UAa2dF110314EMc,,,UAa2dF110314EMciD,,,,,22.3,,LinA,2014-11-18,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa4dF110514EMai,UAa4dF110514EMa,,,UAa4dF110514EMaiD,,,,,9.66,,LinA,2015-04-24,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa4dF110514EMau,UAa4dF110514EMa,,,UAa4dF110514EMauD,,,,,2.45,,LinA,2014-11-11,TLS_-80,D29,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa4dF110514EMbi,UAa4dF110514EMb,,,UAa4dF110514EMbiD,,,,,11.2,,LinA,2014-11-11,BPB425_-20,DNA7,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa4dF110514EMcu,UAa4dF110514EMc,,,UAa4dF110514EMcuD,,,,,12.4,,LinA,2014-11-18,TLS_-80,D29,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,UAa7dF110814EMai,UAa7dF110814EMa,,,UAa7dF110814EMaiD,,,,,25.0,,LinA,2015-04-24,BPB425_-20,DNA7,,,,,,no,
